Дата;Базовый уровень;Изменение кол-ва магазинов;Развитие ecom;Уход конкурентов;Мобилизация;Скидки;COVID;Черная пятница;Площадь магазинов;Праздничные открытия;Праздничные открытия - блогеры;Изменение цен;SMS;Реклама GJ;Реклама конкурентов;COVID - Самоизоляция и закрытие магазинов;Отложенный спрос после самоизоляции
2023_19;2277210,908;545915,5408;-1022029,254;480807,8314;0;236873,9444;-221820,3078;0;2060,348715;39303,78701;0;-821421,2504;19332,0067;628308,437;-285258,1759;0;0
2023_20;2191400,201;524401,2154;-970044,5245;455780,4896;0;226602,858;-210273,9637;0;1953,102018;63938,37764;0;-777134,7705;1,44616E-08;741534,1674;-199140,1839;0;0
2023_21;2134729,859;514993,1956;-947587,5247;444690,8614;0;209801,3713;-205157,7726;0;1934,533859;64612,24485;0;-731647,6727;1,41098E-08;802594,7074;-210068,4233;0;0
2023_22;2342449,165;560547,1737;-1039373,121;487196,5544;0;251085,3289;-224767,74;0;2186,775594;48372,35519;0;-791391,8834;1,54584E-08;721101,4448;-233088,8259;0;0
2023_23;2264877,012;550796,9387;-1009239,762;472541,6387;0;284532,0077;-218006,7064;0;2125,030417;29946,06627;0;-797280,7171;64081,19531;767865,7399;-218856,3567;0;0
2023_24;2298897,893;513947,7024;-924961,6484;432615,1333;0;255829,1118;-199586,6451;0;1955,980523;71397,51627;0;-738511,8423;22156,46495;622328,3199;-184600,8698;0;0
2023_25;2021226,936;507272,908;-908220,0159;424346,5261;0;262669,1594;-195771,9298;0;1938,224991;83635,57202;0;-751364,8816;57545,47407;208270,1622;-193907,9641;0;0
2023_26;1867303,172;504971,0912;-852946,8702;398127,9038;0;231498,3262;-183675,9894;0;1885,641703;139974,8573;0;-680919,1442;20390,19504;207065,7232;-158354,9533;0;0
2023_27;1897752,837;505821,2814;-865015,6917;403380,8149;0;180996,0783;-186099,4158;0;2341,994579;143154,1156;0;-647857,2399;1,2799E-08;253088,9498;-198792,5784;0;0
2023_28;1926349,438;517191,0943;-880188,5792;410088,1948;0;201222,5711;-189193,8601;0;2380,937054;49354,34244;0;-763401,9336;1,30118E-08;255861,5905;-172626,0252;0;0
2023_29;2029063,296;548715,5605;-929333,8876;432616,7967;0;369434,9412;-199587,4125;0;2515,172387;29223,81488;46326,88722;-828448,8119;118201,2582;285676,4744;-208446,1126;0;0
2023_30;2049631,101;566240,4987;-943827,3997;439009,727;0;370365,3686;-202536,7858;0;2525,030446;44736,30814;55871,33097;-787309,3685;119947,9597;252249,5828;-226030,3579;0;0
2023_31;1947730,833;538089,0628;-897585,5473;417183,7463;0;290820,273;-192467,3871;0;2464,772034;137291,5212;34510,8464;-695120,5938;1,3237E-08;479160,5616;-221336,2074;0;0
2023_32;2021840,438;558562,9225;-932403,0755;433057,2551;0;229849,5764;-199790,6177;0;2697,733719;133332,6557;23285,57178;-769439,0422;1,37406E-08;621454,5048;-220981,2461;0;0
2023_33;2143720,578;592234,0898;-989269,5855;459162,7174;0;180902,7349;-211834,3518;0;2873,042366;28274,03711;16048,02387;-847764,4604;1,45689E-08;849049,4714;-176189,3639;0;0
2023_34;2201285,494;608137,2375;-1016464,334;471492,5253;0;140232,9984;-217522,6988;0;2950,191619;5806,654874;10711,32294;-905259,997;1,49602E-08;847308,8567;-238974,3833;0;0
2023_35;2302561,623;536254,8869;-896830,9964;415761,6985;0;109534,1059;-191811,3265;0;2617,995915;28763,07296;6139,402909;-793591,6885;47336,04694;425338,4119;-218099,3202;0;0
2023_36;1638864,759;443194,9445;-754128,2492;349422,526;0;103834,6029;-161205,8024;0;2273,495996;47454,27858;3353,867593;-685751,6168;1,1087E-08;247030,6686;-228321,4075;0;0
2023_37;1806315,047;488478,1938;-831578,0562;385124,6195;0;114409,6651;-177676,9346;0;2565,929491;51062,34233;18264,7461;-795094,4922;1,22198E-08;131368,9797;-239692,6723;0;0
2023_38;1832546,476;499137,1725;-845309,2661;391315,7673;0;179093,1034;-180533,2157;0;2703,566784;51626,61564;44296,90262;-765557,7941;3282,911224;40829,34841;-252592,2514;0;0
2023_39;1522266,26;426471,4814;-706748,5458;327047,7129;0;160822,8257;-150883,2003;0;2285,321416;51303,9112;24064,14777;-607311,9225;1412,825545;25231,58007;-214856,7143;0;0
